00-avengers-company_business,04-iGMM-company_business
"['communication services', 'telecom']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['technology', 'software and it']","['industries', 'trucks']"
"['technology', 'software and it']","['industries', 'industry machinery']"
"['industries', 'electrical products', 'product testing services']","['consumer cyclical', 'casinos', 'hotels']"
"['industries', 'industry machinery']","['healthcare', 'pharmaceutical', 'healthcare products']"
"['industries', 'trucks']","['consumer cyclical', 'automobile', 'automobile parts']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['industries', 'aerospace and defense']"
"['basic materials', 'iron and steel']","['industries', 'industry machinery']"
"['construction materials', 'cement']","['utilities', 'electric utilities']"
real estate,"['industries', 'logistics']"
"['industries', 'tools and equipment']","['financial services', 'banking services']"
"['consumer cyclical', 'real estate', 'investments', 'property investments', 'hotels', 'commercial properties', 'residential properties']","['communication services', 'broadcasting']"
"['basic materials', 'mining']","['consumer cyclical', 'optical products', 'engineering products']"
"['consumer cyclical', 'casinos', 'hotels', 'resorts', 'entertainment']","['communication services', 'telecom']"
"['consumer cyclical', 'optical products', 'engineering products', 'leisure']","['asset management', 'investments', 'financial services']"
"['communication services', 'broadcasting']","['healthcare', 'biotechnology']"
"['financial services', 'banking services']","['utilities', 'electric utilities', 'renewable energy']"
"['industries', 'logistics']","['consumer cyclical', 'industries', 'gym and fitness']"
"['utilities', 'electric utilities']","['financial services', 'asset management', 'investments']"
"['industries', 'industry machinery']","['healthcare', 'biotechnology', 'biopharmaceutical']"
"['industries', 'aerospace and defense']","['industries', 'power equipment', 'electrical products']"
"['consumer cyclical', 'automobile', 'automobile parts', 'batteries']","['industries', 'construction']"
"['healthcare', 'pharmaceutical', 'healthcare products']","['real estate', 'consumer services', 'property investments']"
"['communication services', 'telecom']","['consumer cyclical', 'packaging']"
"['real estate', 'consumer services', 'property investments']","['real estate', 'property investments']"
"['industries', 'construction']",['shell company']
"['industries', 'power equipment', 'electrical products']","['basic materials', 'chemicals']"
"['healthcare', 'biotechnology', 'biopharmaceutical']",['real estate']
"['financial services', 'asset management', 'investments']","['industries', 'technology']"
"['consumer cyclical', 'industries', 'gym and fitness', 'leisure']","['basic materials', 'mining', 'metals']"
"['utilities', 'electric utilities', 'renewable energy']",['real estate']
"['healthcare', 'biotechnology']","['energy', 'oil and gas']"
"['asset management', 'investments', 'financial services']","['industries', 'aerospace and defense']"
"['consumer cyclical', 'packaging']","['technology', 'technology hardware and instruments']"
"['industries', 'aerospace and defense']","['technology', 'solar power devices']"
"['energy', 'oil and gas']","['energy', 'coal mining', 'mining']"
real estate,"['healthcare', 'pharmacy', 'retail']"
"['basic materials', 'mining', 'metals', 'copper mining']","['industries', 'waste and trash management', 'environmental services']"
"['industries', 'technology']","['utilities', 'electric utilities', 'power generation']"
real estate,"['technology', 'software and it infrastructure']"
"['basic materials', 'chemicals']","['basic materials', 'mining']"
shell company,"['consumer defensive', 'fmcg', 'package foods']"
"['real estate', 'property investments']","['industries', 'forest products', 'recreational vehicles']"
"['technology', 'technology hardware and instruments']","['consumer defensive', 'beverages', 'non-alcoholic beverages']"
"['industries', 'forest products', 'recreational vehicles']","['healthcare', 'pharmacy', 'retail']"
"['consumer defensive', 'fmcg', 'package foods', 'food products']","['technology', 'telecom', 'utilities']"
"['basic materials', 'mining']","['basic materials', 'chemicals', 'agriculture related']"
"['technology', 'software and it infrastructure']","['technology', 'software and it']"
"['utilities', 'electric utilities', 'power generation', 'electricity generation', 'renewable energy']","['consumer defensive', 'meat / poultry / fish / chicken', 'food products']"
"['industries', 'waste and trash management', 'environmental services']","['technology', 'software and it']"
"['healthcare', 'pharmacy', 'retail']","['communication services', 'internet or mobile app based business']"
"['energy', 'coal mining', 'mining']",['healthcare']
"['technology', 'solar power devices']","['technology', 'software and it', 'telecom']"
"['consumer defensive', 'beverages', 'non-alcoholic beverages']","['technology', 'software and it infrastructure']"
"['technology', 'software and it', 'telecom', 'utilities', 'business services', 'cloud services', 'software products', 'telecom equipment']","['consumer cyclical', 'restaurants', 'consumer services']"
healthcare,"['basic materials', 'paper and pulp', 'wood products']"
"['communication services', 'internet or mobile app based business']","['industries', 'industry machinery']"
"['technology', 'software and it']",['construction materials']
"['consumer defensive', 'meat / poultry / fish / chicken', 'food products', 'farming / seeds / milling']","['industries', 'chemicals', 'construction materials']"
"['technology', 'software and it']","['industries', 'automobile', 'automobile parts']"
"['basic materials', 'chemicals', 'agriculture related']","['consumer defensive', 'non-alcoholic beverages', 'beverages']"
"['technology', 'telecom', 'utilities', 'telecom equipment', 'communications equipment']","['basic materials', 'paints and coatings', 'chemicals']"
"['healthcare', 'pharmacy', 'retail']","['financial services', 'insurance']"
"['technology', 'software and it infrastructure']","['communication services', 'advertising']"
"['financial services', 'insurance']","['consumer cyclical', 'nontech hardware products', 'tools and equipment']"
"['basic materials', 'paints and coatings', 'chemicals']","['basic materials', 'chemicals', 'agriculture related']"
"['consumer defensive', 'non-alcoholic beverages', 'beverages']","['healthcare', 'medical equipment']"
"['industries', 'automobile', 'automobile parts']","['utilities', 'natural gas distribution']"
"['industries', 'chemicals', 'construction materials', 'conglomerate']","['basic materials', 'mining', 'metals']"
construction materials,"['industries', 'shipping']"
"['industries', 'industry machinery']",['home furnishing']
"['basic materials', 'paper and pulp', 'wood products', 'forest products']","['industries', 'electrical products']"
"['consumer cyclical', 'restaurants', 'consumer services']","['consumer defensive', 'food products', 'agriculture products']"
"['communication services', 'advertising']","['financial services', 'banking services']"
"['consumer defensive', 'food products', 'agriculture products', 'consumer non durables', 'farming / seeds / milling']","['technology', 'software and it infrastructure']"
"['industries', 'electrical products']","['financial services', 'banking services']"
